country,year,status,life_expectancy,adult_mortality,measles,under_five_deaths,polio,diphtheria,hiv_aids,gdp_per_capita,thinness_1_19_years,thinness_5_9_years,income_composition_of_resources,schooling,continent
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2015,Developing,65.0,263.0,1154,83,6.0,65.0,0.1,584.25921,17.2,17.3,0.479,10.1,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2014,Developing,59.9,271.0,492,86,58.0,62.0,0.1,612.696514,17.5,17.5,0.476,10.0,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
