original_title,release_date
Avatar,12/10/09
Pirates of the Caribbean: At World's End,5/19/07
Spectre,10/26/15
The Dark Knight Rises,7/16/12
John Carter,3/7/12
Spider-Man 3,5/1/07
Tangled,11/24/10
Avengers: Age of Ultron,4/22/15
Harry Potter and the Half-Blood Prince,7/7/09
Batman v Superman: Dawn of Justice,3/23/16
Superman Returns,6/28/06
Quantum of Solace,10/30/08
Pirates of the Caribbean: Dead Man's Chest,6/20/06
The Lone Ranger,7/3/13
Man of Steel,6/12/13
The Chronicles of Narnia: Prince Caspian,5/15/08
The Avengers,4/25/12
Pirates of the Caribbean: On Stranger Tides,5/14/11
Men in Black 3,5/23/12
The Hobbit: The Battle of the Five Armies,12/10/14
The Amazing Spider-Man,6/27/12
Robin Hood,5/12/10
The Hobbit: The Desolation of Smaug,12/11/13
The Golden Compass,12/4/07
King Kong,12/14/05
Titanic,11/18/97
Captain America: Civil War,4/27/16
Battleship,4/11/12
Jurassic World,6/9/15
Skyfall,10/25/12
Spider-Man 2,6/25/04
Iron Man 3,4/18/13
Alice in Wonderland,3/3/10
X-Men: The Last Stand,5/24/06
Monsters University,6/20/13
Transformers: Revenge of the Fallen,6/19/09
Transformers: Age of Extinction,6/25/14
Oz: The Great and Powerful,3/7/13
The Amazing Spider-Man 2,4/16/14
TRON: Legacy,12/10/10
Cars 2,6/11/11
Green Lantern,6/16/11
Toy Story 3,6/16/10
Terminator Salvation,5/20/09
Furious 7,4/1/15
World War Z,6/20/13
X-Men: Days of Future Past,5/15/14
Star Trek Into Darkness,5/5/13
Jack the Giant Slayer,2/27/13
The Great Gatsby,5/10/13
Prince of Persia: The Sands of Time,5/19/10
Pacific Rim,7/11/13
Transformers: Dark of the Moon,6/28/11
Indiana Jones and the Kingdom of the Crystal Skull,5/21/08
The Good Dinosaur,11/14/15
Brave,6/21/12
Star Trek Beyond,7/7/16
WALL·E,6/22/08
Rush Hour 3,8/8/07
2012,10/10/09
A Christmas Carol,11/4/09
Jupiter Ascending,2/4/15
The Legend of Tarzan,6/29/16
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/7/05
X-Men: Apocalypse,5/18/16
The Dark Knight,7/16/08
Up,5/13/09
Monsters vs Aliens,3/19/09
Iron Man,4/30/08
Hugo,11/22/11
Wild Wild West,6/29/99
The Mummy: Tomb of the Dragon Emperor,7/1/08
Suicide Squad,8/2/16
Evan Almighty,6/9/07
Edge of Tomorrow,5/27/14
Waterworld,7/28/95
G.I. Joe: The Rise of Cobra,8/4/09
Inside Out,6/9/15
The Jungle Book,4/7/16
Iron Man 2,4/28/10
Snow White and the Huntsman,5/30/12
Maleficent,5/28/14
Dawn of the Planet of the Apes,6/26/14
The Lovers,2/13/15
47 Ronin,12/6/13
Captain America: The Winter Soldier,3/20/14
Shrek Forever After,5/16/10
Tomorrowland,5/19/15
Big Hero 6,10/24/14
Wreck-It Ralph,11/1/12
The Polar Express,11/10/04
Independence Day: Resurgence,6/22/16
How to Train Your Dragon,3/5/10
Terminator 3: Rise of the Machines,7/2/03
Guardians of the Galaxy,7/30/14
Interstellar,11/5/14
Inception,7/14/10
The Hobbit: An Unexpected Journey,11/26/12
The Fast and the Furious,6/22/01
The Curious Case of Benjamin Button,11/24/08
X-Men: First Class,5/24/11
The Hunger Games: Mockingjay - Part 2,11/18/15
The Sorcerer's Apprentice,7/13/10
Poseidon,5/12/06
Alice Through the Looking Glass,5/25/16
Shrek the Third,5/17/07
Warcraft,5/25/16
Terminator Genisys,6/23/15
The Chronicles of Narnia: The Voyage of the Dawn Treader,8/13/10
Pearl Harbor,5/21/01
Transformers,6/27/07
Alexander,11/21/04
Harry Potter and the Order of the Phoenix,6/28/07
